setting,year,age,medium_variant,low_variant,high_variant
SLE,2022,0,60.4,60.4,60.4
SLE,2022,1,63.9,63.9,63.9
SLE,2022,2,63.7,63.7,63.7
SLE,2022,3,63.2,63.2,63.2
SLE,2022,4,62.5,62.5,62.5
SLE,2022,5,61.8,61.8,61.8
SLE,2022,6,61.0,61.0,61.0
SLE,2022,7,60.1,60.1,60.1
SLE,2022,8,59.2,59.2,59.2
SLE,2022,9,58.3,58.3,58.3
SLE,2022,10,57.4,57.4,57.4
SLE,2022,11,56.4,56.4,56.4
SLE,2022,12,55.5,55.5,55.5
SLE,2022,13,54.6,54.6,54.6
SLE,2022,14,53.6,53.6,53.6
SLE,2022,15,52.7,52.7,52.7
SLE,2022,16,51.8,51.8,51.8
SLE,2022,17,50.9,50.9,50.9
SLE,2022,18,50.0,50.0,50.0
SLE,2022,19,49.1,49.1,49.1
SLE,2022,20,48.2,48.2,48.2
SLE,2022,21,47.3,47.3,47.3
SLE,2022,22,46.4,46.4,46.4
SLE,2022,23,45.5,45.5,45.5
SLE,2022,24,44.6,44.6,44.6
SLE,2022,25,43.8,43.8,43.8
SLE,2022,26,42.9,42.9,42.9
SLE,2022,27,42.0,42.0,42.0
SLE,2022,28,41.1,41.1,41.1
SLE,2022,29,40.2,40.2,40.2
SLE,2022,30,39.3,39.3,39.3
SLE,2022,31,38.4,38.4,38.4
SLE,2022,32,37.5,37.5,37.5
SLE,2022,33,36.6,36.6,36.6
SLE,2022,34,35.7,35.7,35.7
SLE,2022,35,34.8,34.8,34.8
SLE,2022,36,33.9,33.9,33.9
SLE,2022,37,33.1,33.1,33.1
SLE,2022,38,32.2,32.2,32.2
SLE,2022,39,31.3,31.3,31.3
SLE,2022,40,30.5,30.5,30.5
SLE,2022,41,29.6,29.6,29.6
SLE,2022,42,28.7,28.7,28.7
SLE,2022,43,27.9,27.9,27.9
SLE,2022,44,27.1,27.1,27.1
SLE,2022,45,26.2,26.2,26.2
SLE,2022,46,25.4,25.4,25.4
SLE,2022,47,24.6,24.6,24.6
SLE,2022,48,23.8,23.8,23.8
SLE,2022,49,22.9,22.9,22.9
SLE,2022,50,22.1,22.1,22.1
SLE,2022,51,21.4,21.4,21.4
SLE,2022,52,20.6,20.6,20.6
SLE,2022,53,19.8,19.8,19.8
SLE,2022,54,19.1,19.1,19.1
SLE,2022,55,18.3,18.3,18.3
SLE,2022,56,17.6,17.6,17.6
SLE,2022,57,16.9,16.9,16.9
SLE,2022,58,16.1,16.1,16.1
SLE,2022,59,15.4,15.4,15.4
SLE,2022,60,14.8,14.8,14.8
SLE,2022,61,14.1,14.1,14.1
SLE,2022,62,13.4,13.4,13.4
SLE,2022,63,12.8,12.8,12.8
SLE,2022,64,12.2,12.2,12.2
SLE,2022,65,11.6,11.6,11.6
SLE,2022,66,11.0,11.0,11.0
SLE,2022,67,10.5,10.5,10.5
SLE,2022,68,9.9,9.9,9.9
SLE,2022,69,9.4,9.4,9.4
SLE,2022,70,8.9,8.9,8.9
SLE,2022,71,8.4,8.4,8.4
SLE,2022,72,7.9,7.9,7.9
SLE,2022,73,7.5,7.5,7.5
SLE,2022,74,7.1,7.1,7.1
SLE,2022,75,6.7,6.7,6.7
SLE,2022,76,6.3,6.3,6.3
SLE,2022,77,5.9,5.9,5.9
SLE,2022,78,5.5,5.5,5.5
SLE,2022,79,5.2,5.2,5.2
SLE,2022,80,4.9,4.9,4.9
SLE,2022,81,4.6,4.6,4.6
SLE,2022,82,4.3,4.3,4.3
SLE,2022,83,4.0,4.0,4.0
SLE,2022,84,3.7,3.7,3.7
SLE,2022,85,3.5,3.5,3.5
SLE,2022,86,3.3,3.3,3.3
SLE,2022,87,3.1,3.1,3.1
SLE,2022,88,3.0,3.0,3.0
SLE,2022,89,2.8,2.8,2.8
SLE,2022,90,2.7,2.7,2.7
SLE,2022,91,2.6,2.6,2.6
SLE,2022,92,2.4,2.4,2.4
SLE,2022,93,2.3,2.3,2.3
SLE,2022,94,2.2,2.2,2.2
SLE,2022,95,2.1,2.1,2.1
SLE,2022,96,2.0,2.0,2.0
SLE,2022,97,1.9,1.9,1.9
SLE,2022,98,1.8,1.8,1.8
SLE,2022,99,1.7,1.7,1.7
SLE,2022,100,1.7,1.7,1.7
SLE,2023,0,60.8,60.8,60.8
SLE,2023,1,64.4,64.4,64.4
SLE,2023,2,64.2,64.2,64.2
SLE,2023,3,63.7,63.7,63.7
SLE,2023,4,63.1,63.1,63.1
SLE,2023,5,62.3,62.3,62.3
SLE,2023,6,61.5,61.5,61.5
SLE,2023,7,60.6,60.6,60.6
SLE,2023,8,59.7,59.7,59.7
SLE,2023,9,58.8,58.8,58.8
SLE,2023,10,57.9,57.9,57.9
SLE,2023,11,57.0,57.0,57.0
SLE,2023,12,56.0,56.0,56.0
SLE,2023,13,55.1,55.1,55.1
SLE,2023,14,54.2,54.2,54.2
SLE,2023,15,53.3,53.3,53.3
SLE,2023,16,52.3,52.3,52.3
SLE,2023,17,51.4,51.4,51.4
SLE,2023,18,50.5,50.5,50.5
SLE,2023,19,49.6,49.6,49.6
SLE,2023,20,48.8,48.8,48.8
SLE,2023,21,47.9,47.9,47.9
SLE,2023,22,47.0,47.0,47.0
SLE,2023,23,46.1,46.1,46.1
SLE,2023,24,45.2,45.2,45.2
SLE,2023,25,44.3,44.3,44.3
SLE,2023,26,43.5,43.5,43.5
SLE,2023,27,42.6,42.6,42.6
SLE,2023,28,41.7,41.7,41.7
SLE,2023,29,40.8,40.8,40.8
SLE,2023,30,39.9,39.9,39.9
SLE,2023,31,39.0,39.0,39.0
SLE,2023,32,38.1,38.1,38.1
SLE,2023,33,37.2,37.2,37.2
SLE,2023,34,36.3,36.3,36.3
SLE,2023,35,35.4,35.4,35.4
SLE,2023,36,34.6,34.6,34.6
SLE,2023,37,33.7,33.7,33.7
SLE,2023,38,32.8,32.8,32.8
SLE,2023,39,32.0,32.0,32.0
SLE,2023,40,31.1,31.1,31.1
SLE,2023,41,30.2,30.2,30.2
SLE,2023,42,29.4,29.4,29.4
SLE,2023,43,28.5,28.5,28.5
SLE,2023,44,27.7,27.7,27.7
SLE,2023,45,26.8,26.8,26.8
SLE,2023,46,26.0,26.0,26.0
SLE,2023,47,25.2,25.2,25.2
SLE,2023,48,24.4,24.4,24.4
SLE,2023,49,23.6,23.6,23.6
SLE,2023,50,22.8,22.8,22.8
SLE,2023,51,22.0,22.0,22.0
SLE,2023,52,21.2,21.2,21.2
SLE,2023,53,20.4,20.4,20.4
SLE,2023,54,19.6,19.6,19.6
SLE,2023,55,18.9,18.9,18.9
SLE,2023,56,18.1,18.1,18.1
SLE,2023,57,17.4,17.4,17.4
SLE,2023,58,16.7,16.7,16.7
SLE,2023,59,16.0,16.0,16.0
SLE,2023,60,15.3,15.3,15.3
SLE,2023,61,14.6,14.6,14.6
SLE,2023,62,13.9,13.9,13.9
SLE,2023,63,13.3,13.3,13.3
SLE,2023,64,12.6,12.6,12.6
SLE,2023,65,12.0,12.0,12.0
SLE,2023,66,11.4,11.4,11.4
SLE,2023,67,10.9,10.9,10.9
SLE,2023,68,10.3,10.3,10.3
SLE,2023,69,9.7,9.7,9.7
SLE,2023,70,9.2,9.2,9.2
SLE,2023,71,8.7,8.7,8.7
SLE,2023,72,8.2,8.2,8.2
SLE,2023,73,7.8,7.8,7.8
SLE,2023,74,7.3,7.3,7.3
SLE,2023,75,6.9,6.9,6.9
SLE,2023,76,6.5,6.5,6.5
SLE,2023,77,6.1,6.1,6.1
SLE,2023,78,5.8,5.8,5.8
SLE,2023,79,5.4,5.4,5.4
SLE,2023,80,5.1,5.1,5.1
SLE,2023,81,4.8,4.8,4.8
SLE,2023,82,4.5,4.5,4.5
SLE,2023,83,4.2,4.2,4.2
SLE,2023,84,3.9,3.9,3.9
SLE,2023,85,3.7,3.7,3.7
SLE,2023,86,3.5,3.5,3.5
SLE,2023,87,3.3,3.3,3.3
SLE,2023,88,3.1,3.1,3.1
SLE,2023,89,3.0,3.0,3.0
SLE,2023,90,2.8,2.8,2.8
SLE,2023,91,2.7,2.7,2.7
SLE,2023,92,2.5,2.5,2.5
SLE,2023,93,2.4,2.4,2.4
SLE,2023,94,2.3,2.3,2.3
SLE,2023,95,2.1,2.1,2.1
SLE,2023,96,2.0,2.0,2.0
SLE,2023,97,1.9,1.9,1.9
SLE,2023,98,1.9,1.9,1.9
SLE,2023,99,1.8,1.8,1.8
SLE,2023,100,1.7,1.7,1.7
